iter	Passed	Remaining
727	52682	92050
728	52751	91970
729	52821	91894
730	52895	91825
731	52964	91747
732	53033	91669
733	53102	91591
734	53179	91526
735	53254	91458
736	53322	91379
737	53389	91297
738	53457	91217
739	53526	91140
740	53607	91082
741	53678	91007
742	53749	90932
743	53815	90850
744	53899	90796
745	53964	90711
746	54029	90627
747	54099	90552
748	54192	90513
749	54269	90448
750	54354	90397
751	54424	90320
752	54497	90249
753	54565	90170
754	54638	90098
755	54706	90020
756	54771	89935
757	54837	89851
758	54911	89782
759	54980	89704
760	55049	89626
761	55115	89545
762	55182	89463
763	55256	89394
764	55322	89311
765	55390	89232
766	55456	89150
767	55527	89075
768	55593	88992
769	55660	88912
770	55727	88831
771	55792	88748
772	55872	88688
773	55941	88609
774	56007	88527
775	56075	88449
776	56159	88395
777	56242	88339
778	56319	88274
779	56396	88209
780	56475	88148
781	56547	88075
782	56623	88008
783	56693	87932
784	56759	87851
785	56826	87770
786	56903	87704
787	56970	87624
788	57046	87557
789	57113	87477
790	57179	87395
791	57247	87317
792	57320	87245
793	57387	87165
794	57453	87083
795	57519	87002
796	57582	86915
797	57649	86835
798	57716	86754
799	57785	86678
800	57859	86608
801	57928	86531
802	57997	86454
803	58062	86371
804	58131	86295
805	58200	86217
806	58268	86139
807	58341	86067
808	58409	85990
809	58477	85911
810	58544	85831
811	58617	85760
812	58707	85714
813	58776	85637
814	58877	85606
815	58944	85526
816	59011	85447
817	59080	85371
818	59151	85296
819	59219	85218
820	59295	85152
821	59361	85070
822	59426	84988
823	59493	84907
824	59558	84825
825	59621	84740
826	59686	84658
827	59754	84580
828	59820	84499
829	59899	84436
830	59985	84384
831	60072	84332
832	60145	84261
833	60214	84185
834	60282	84106
835	60352	84031
836	60420	83953
837	60486	83872
838	60557	83798
839	60625	83720
840	60693	83642
841	60764	83568
842	60833	83493
843	60907	83423
844	60994	83371
845	61076	83312
846	61164	83261
847	61237	83190
848	61305	83112
849	61391	83059
850	61476	83003
851	61554	82939
852	61621	82860
853	61689	82782
854	61759	82707
855	61844	82652
856	61929	82596
857	62020	82549
858	62091	82475
859	62160	82398
860	62230	82322
861	62296	82243
862	62362	82162
863	62428	82081
864	62493	82000
865	62559	81919
866	62628	81842
867	62703	81774
868	62794	81727
869	62877	81668
870	62950	81597
871	63019	81520
